Nama,Produk,Kontak,WhatsApp,Lokasi,Lantai,Lokasi Parkir,Link Toko,Link Gambar
Tous Les Jours Cafe ,Coffee & Pastries,6289660413206,https://api.whatsapp.com/send?phone=6289660413206,MKG-5,Lantai Dasar,,https://www.malkelapagading.com/directory/tous-les-jouls-cafe,http://images.malkelapagading.com/tenant/Tous-Les-Jours-Cafelogo-20.jpg
TOYOTA INSPIRIENCE ZONE ,Produk & Layanan Toyota,,,MKG-2,Lantai Dasar,"Parkir B, GF",https://www.malkelapagading.com/directory/toyota-inspirience-zone,http://images.malkelapagading.com/tenant/TOYOTA-INSPIRIENCE-ZONElogo-29.jpg
Tracce ,Sepatu dan sendal,0214529563,,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/tracce,http://images.malkelapagading.com/tenant/Traccelogo.jpg
Trident Dental ,Klinik gigi,0214530789,,Gading Walk,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/trident-dental,http://images.malkelapagading.com/tenant/Trident-Dentallogo2.jpg
TUMI ,"Travel accessories, bag, luggage",02145853996,,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/tumi,http://images.malkelapagading.com/tenant/TUMIlogo.jpg
Ultramen ,Ramen,02122450684,https://api.whatsapp.com/send?phone=081385351212,MKG-3,Lantai Dasar,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/ultramen,http://images.malkelapagading.com/tenant/Ultramenlogo-55.jpg
unbakes ,"Sandwich, Sourdough Bomboloni/Doughnut/Donat, Cookies, Cheese Cake, Lotus Cake, Croissant, Lemonade, Matcha Latte",08172362061,https://api.whatsapp.com/send?phone=628172362061,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/unbakes,http://images.malkelapagading.com/tenant/Unbakeslogo-86.jpg
Uncle Tetsu Cheesecake ,"Cheese cake, cheese tart from Japan",02145865007,https://api.whatsapp.com/send?phone=6281911800175,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/uncle-tetsu-cheesecake,http://images.malkelapagading.com/tenant/Uncle-Tetsu-Cheesecakelogo1.jpg
Under Armour ,Sport t-shirt,02145853727,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1,https://www.malkelapagading.com/directory/under-armour,http://images.malkelapagading.com/tenant/Under-Armourlogo.jpg
Union ,"Classic American Brasserie, Bakery & Bar by The Union Group.",02145864979,https://api.whatsapp.com/send?phone=6287822881208,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/union,http://images.malkelapagading.com/tenant/Unionlogo.jpg
UNIQLO ,"Casual Wear, Shirts, T-shirts, Jackets, etc",62150420230,,La Piazza,Lantai 1,,https://www.malkelapagading.com/directory/uniqlo,http://images.malkelapagading.com/tenant/UNIQLOlogo-84.jpg
Unirep Junior College ,Pendidikan,02145855487,,Gading Walk,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/unirep-junior-college,http://images.malkelapagading.com/tenant/Uniprep-Junior-Collegelogo.jpg
Urban Icon ,"Tas, dompet, jam tangan untuk pria dan wanita",02145853995,https://api.whatsapp.com/send?phone=6283866088899,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/urban-icon,http://images.malkelapagading.com/tenant/Urban-Iconlogo-9.jpg
Urban Republic ,"mobile phones, gadgets, headphone, speakers, digital watches",02145853702,https://api.whatsapp.com/send?phone=6282111470989,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/urban-republic,http://images.malkelapagading.com/tenant/Urban-Republiclogo-90.jpg
Vans ,Sepatu,02145853678,,MKG-2,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/vanz,http://images.malkelapagading.com/tenant/Vanslogo.jpg
Victoria`s Secret ,Pakaian dalam dan parfum,02145853802,,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/victoria-secret,http://images.malkelapagading.com/tenant/Victorias-Secretlogo.jpg
Vinoti Living ,Furnitur & Home Accessories,02145853752,https://api.whatsapp.com/send?phone=6282125230297,MKG-5,Lantai 2,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/vinoti-living,http://images.malkelapagading.com/tenant/Vinoti-Livinglogo-27.jpg
Wacoal ,Underware / Intimate,021-45876419,,MKG-3,Lantai 2,,https://www.malkelapagading.com/directory/wacoal,http://images.malkelapagading.com/tenant/Wacoallogo-23.png
Wakai ,Sepatu,0214529604,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/wakai,http://images.malkelapagading.com/tenant/Wakailogo1.jpg
Warna ,Aksesoris dan pernak pernik,02145853965,,MKG-2,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/warna,http://images.malkelapagading.com/tenant/Warnalogo.jpg
Warung Bakudapa Manado ,Makanan khas Manado,087804221962,,MKG-3,Lantai 3,Gedung Parkir 2 Lantai 3/P3 P3A,https://www.malkelapagading.com/directory/baku-dapa,http://images.malkelapagading.com/tenant/Warung-Bakudapa-Manadologo1.jpg
Warung Siomay ,Aneka Siomay dan Batargor yang halal & fresh,0214534295,https://api.whatsapp.com/send?phone=62816702742,MKG-3,Lantai 3,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/warung-siomay,http://images.malkelapagading.com/tenant/Warung-Siomaylogo-30.jpg
Watch Studio ,"Raymond Weil, Aigner, Swiss Military, Ingersoll, Police, Timberland, FCUK, ELLE, Morgan de Toi, Paris Hilton, Licorne, Titan, jam tangan, asesoris jam",02145855011,https://api.whatsapp.com/send?phone=6282112677683,MKG-2,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/watch-studio,http://images.malkelapagading.com/tenant/Watch-Studiologo1.jpg
Watch Zone ,"Imported multi brand watches and related accessories, such as: Guess, Nautica, Kenzo, Karen Milen, Ben Sherman, Victorinox, Superdry.",0214530055,https://api.whatsapp.com/send?phone=6287885601548,MKG-2,Lantai 1,Gedung Parkir 2 Lantai 1,https://www.malkelapagading.com/directory/watch-zone,http://images.malkelapagading.com/tenant/Watch-Enginelogo-100.jpg
Watsons ,"medicines, health supplements, skincare, toiletries and cosmetics",02145855027,https://api.whatsapp.com/send?phone=6287781160512,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/watsons,http://images.malkelapagading.com/tenant/Watsonslogo-86.jpg
Wicked Pies ,Handcrafted Premium Pies,,,MKG-2,Lantai 2,,https://www.malkelapagading.com/directory/wicked-pies,http://images.malkelapagading.com/tenant/Wicked-Pieslogo-55.png
Wilio Kids ,"Kids shoes, sepatu anak",02145878285,https://api.whatsapp.com/send?phone=6287739220864,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/wilio-kids,http://images.malkelapagading.com/tenant/Wilio-Kidslogo-94.jpg
Wingstop ,"Classic Chicken Wings, Crunchy Chicken Wings, Boneless Chicken Strips, Texas Stripper, Cajun Rice Set, French Fries, Veggie Strips, Chicken Salad, Chicken Cream Soup",,,MKG-3,Lantai 3,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/wingstop,http://images.malkelapagading.com/tenant/Wingstoplogo-2.jpg
Winslett Jewellery ,"Perhiasan, jewellery",,https://api.whatsapp.com/send?phone=628170937117,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/winslett-jewellery,http://images.malkelapagading.com/tenant/Winslett-Jewellerylogo1.jpg
WL Waxing ,Hair removal service,02145853878,,MKG-5,Basement,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/wl-waxing,http://images.malkelapagading.com/tenant/WL-Waxinglogo1.jpg
World Gems Center ,Perhiasan,02145853666,,MKG-3,Lantai Dasar,Gedung Parkir 2/3 Basement,https://www.malkelapagading.com/directory/world-gems-center,http://images.malkelapagading.com/tenant/World-Gems-Centerlogo.jpg
XL Center ,XL Service Center,0214529664,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/xl-center,http://images.malkelapagading.com/tenant/XL-Centerlogo.jpg
XXI Garden Cafe ,"Nachos, Calamari, Chicken Wings, Mini Pangsit Goreng, Nasi Goreng, Traditional Betawi Salad, Chicken Caesar Salad, Tuna Sambal Matah, Carbonara, Fish & Chips, California Burger, Hotdog, Waffle, Ice Cappucinno, Super Green Smoothies,  Ice Lychee Tea",02145853821,,MKG-2,Lantai 3,Gedung Parkir 2 Lantai 3/4,https://www.malkelapagading.com/directory/xxi-garden-cafe,http://images.malkelapagading.com/tenant/XXI-Garden-Cafelogo.jpg
Yakun Kaya Toast ,"Butter Sugar Toast, Cheese Toast with Kaya , French Toast with Kaya, Chicken Curry Noodles, Mee Rebus, Nasi Lemak Istimewa, Laksa",0214529063,https://api.whatsapp.com/send?phone=62816950491,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/yakun-kaya-toast,http://images.malkelapagading.com/tenant/Yakun-Kaya-Toastlogo.jpg
Yamada Holding Best  ,Elektronik,02145853962,https://api.whatsapp.com/send?phone=628987994514,MKG-5,Lantai 2,Gedung Parkir 5 Lt. 3 P3 | Parkir L4,https://www.malkelapagading.com/directory/yamada-holding-best,http://images.malkelapagading.com/tenant/Best-Denkilogo-52.jpg
YamMie Hotplate ,Mie & nasi hotplate,02145855055,https://api.whatsapp.com/send?phone=6287886882438,MKG-3,Lantai 3,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/yammie-hotplate,http://images.malkelapagading.com/tenant/YamMie-Hotplatelogo.jpg
Yopie Salon ,"Hair coloring, hair cutting, creambath, refleksi, nail coloring",0214524961,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/yopie-salon,http://images.malkelapagading.com/tenant/Yopie-Salonlogo.jpg
Yoshinoya ,"1st Japanese Rice Bowl : Beef Bowl Original/Yakiniku, Teriyaki Chicken Bowl, Veggie Beef Bowl, Combo Bowl, Crispy Set, Chicken Karaage/Katsu/Shumai, Eby Fry/Crispy, Egg Roll, Shrimp Cutlet ",02145853664,https://api.whatsapp.com/send?phone=6285811500566,MKG-3,Lantai 3,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/yoshinoya,http://images.malkelapagading.com/tenant/Yoshinoyalogo.jpg
Your Bag Spa ,"Bag, shoes, wallet cleaning service / retouch / repair / recolour",081224452277,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement P1A/Parkir L6/L5,https://www.malkelapagading.com/directory/your-bag-spa,http://images.malkelapagading.com/tenant/Your-Bag-Spalogo.jpg
Yuan Market ,Pakaian & aksesoris wanita,08111556623,https://api.whatsapp.com/send?phone=0822 9938 8489 ,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/yuan-market,http://images.malkelapagading.com/tenant/Yuan-Marketlogo-11.jpg
Yuraku ,"All you can eat/ala carte yakiniku/shabu-shabu, Dimsum, Sushi, Tempura, Salad, Soup",0214529719,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/yuraku,http://images.malkelapagading.com/tenant/Yurakulogo.jpg
Yves Rocher ,"Perawatan kulit, tubuh dan parfum",02145878335,,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/yves-rocher,http://images.malkelapagading.com/tenant/Yves-Rocherlogo.jpg
ZARA ,"Pakaian, tas, sepatu, aksesoris, parfum untuk pria & wanita",02145853784,,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/zara,http://images.malkelapagading.com/tenant/ZARAlogo.jpg
Zaxy ,Shoes & Sandals,,,MKG-1,Lantai 1,,https://www.malkelapagading.com/directory/zaxy,http://images.malkelapagading.com/tenant/Zaxylogo-42.jpg
ZOOMOOV ,Kids ride,,,MKG-3,Lantai 2,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/zoomoov,http://images.malkelapagading.com/tenant/ZOOMOOVlogo2.jpg
